"","tweet","full_text","retweet_count","favorite_count","lang","word_count","bingNeg","bingPos","bingWords","bing","loughNeg","loughPos","loughWords","lough","nrcNeg","nrcPos","nrcWords","nrc","bingRatio","loughRatio","nrcRatio"
"472",534,"RT @omaer_alam: Today I participated in the weekly strike against climate change from the bridge of Turag river in Dhaka district of Bangla…",239,0,"en",23,1,0,1,4.3478260831758e-10,2,0,2,4.3478260831758e-10,1,0,1,4.3478260831758e-10,0.0434782608695652,0.0869565217391304,0.0434782608695652
"473",535,"RT @Joshomonukk: Keep 1.5 Alive.
#FridaysForFuture @Riseupmovt https://t.co/tK8t98dvOo",262,0,"en",10,0,0,0,9.99999998e-10,0,0,0,9.99999998e-10,0,1,1,0.1000000008,0,0,0.1
"474",536,"RT @fff_tui: Save life on earth

Start with a budget that funds #ClimateActionNow 

Standing outside #NewZealand Minister of finance office…",145,0,"en",20,0,0,0,4.999999995e-10,0,0,0,4.999999995e-10,0,2,2,0.1000000004,0,0,0.1
"475",537,"RT @EKOenergy_: We're in front the Finnish Parliament, asking for #ClimateAction and #sustainable #RenewableEnergy! 

#fridaysforfuture #cl…",207,0,"en",16,0,1,1,0.062500000546875,0,0,0,6.2499999921875e-10,0,0,0,6.2499999921875e-10,0.0625,0,0
"476",538,"RT @auber_fichess: Week 41 #ClimateStrike in #Angola
In Angola the politicians treat the law with a pistol and the 27th of May is proof of…",132,0,"en",25,0,0,0,3.9999999968e-10,0,0,0,3.9999999968e-10,2,1,3,0.040000000368,0,0,0.12
"477",540,"School strike week 189. We recently received an irresistible offer from fossil fuel lobbyists, so we have now changed our narrative. It is snowing today in Stockholm, therefore climate change must be a hoax guys!
We want #ProfitNotPeople !
#FridaysAgainstFuture https://t.co/GtpX2xMZtD",1469,8638,"en",42,2,1,3,0.0238095240362812,0,0,0,2.38095237981859e-10,2,2,4,0.0476190478344671,0.0714285714285714,0,0.0952380952380952
"478",541,"RT @stopEACOP: Last week we left the comfort of our homes and travelled to the lion's den. We were at @totalenergies headquarters with a si…",166,0,"en",25,0,1,1,0.040000000368,0,0,0,3.9999999968e-10,0,1,1,0.040000000368,0.04,0,0.04
"479",542,"Here is the full list of contributors: https://t.co/eNnvrC4miN",177,842,"en",10,0,0,0,9.99999998e-10,0,0,0,9.99999998e-10,0,1,1,0.1000000008,0,0,0.1
"480",543,"I’ve invited over 100 leading voices from around the world - scientists, experts, activists and authors to create a book that covers the climate- and ecological crisis from a holistic perspective. The Climate Book will be released in October.

https://t.co/Q3r5zEThBN https://t.co/dnIONDeRcX",1852,7490,"en",44,1,1,2,0.0227272729442149,1,1,2,0.0227272729442149,1,1,2,0.0227272729442149,0.0454545454545455,0.0454545454545455,0.0454545454545455
"481",544,"RT @tveitdal: Satellite images reveal lake with water supply for 2 million people in Chile has dried up
https://t.co/Lr1cuk4xru
New satelli…",852,0,"en",23,0,0,0,4.3478260831758e-10,0,0,0,4.3478260831758e-10,0,1,1,0.0434782612665406,0,0,0.0434782608695652
"482",545,"RT @sullyfoto: Lake Powell is shrinking. These photos were taken 9 months apart (Top photo 6/23/21 - Bottom photo 3/27/22) at Lake Powell's…",34412,0,"en",26,0,1,1,0.038461538816568,0,0,0,3.84615384319527e-10,1,1,2,0.038461538816568,0.0384615384615385,0,0.0769230769230769
"483",546,"RT @SEIclimate: The Morrison government plans to cut #climate spending by 35% annually over four years, if it wins the election. Australia…",180,0,"en",22,0,1,1,0.0454545458677686,1,0,1,4.54545454132231e-10,1,0,1,4.54545454132231e-10,0.0454545454545455,0.0454545454545455,0.0454545454545455
"484",547,"""Antarctic ice shelf nearly the size of Los Angeles collapsed as temperatures soared to 40 above normal""
https://t.co/dGiqpe9FfH",1984,4486,"en",20,0,0,0,4.999999995e-10,1,0,1,4.999999995e-10,0,0,0,4.999999995e-10,0,0.05,0
"485",548,"RT @ianbremmer: jesus i’ve never seen a climate graph like this one https://t.co/741PbbR3qC",7704,0,"en",15,0,1,1,0.0666666672444444,0,0,0,6.66666665777778e-10,0,0,0,6.66666665777778e-10,0.0666666666666667,0,0
"486",550,"RT @FFFMAPA: In Venezuela #FridaysForFuture Activists, students, civil society and young people demonstrated for climate justice infront of…",215,0,"en",18,0,0,0,5.55555554938272e-10,0,0,0,5.55555554938272e-10,0,2,2,0.11111111154321,0,0,0.111111111111111
"487",551,"RT @Fri4FutureSea: Global Climate Strike #Seattle #FridaysForFuture #ClimateStrike #ClimateActionNow #PeopleNotProfit  Join us next time! S…",261,0,"en",15,1,0,1,6.66666665777778e-10,0,0,0,6.66666665777778e-10,1,1,2,0.0666666672444444,0.0666666666666667,0,0.133333333333333
"488",552,"RT @Fou_rat_kan_dil: Our fourth strike in Tunisia.
We demand from our government to declare climate emergency. 
#climatejustice #ClimateAct…",152,0,"en",18,2,0,2,5.55555554938272e-10,0,0,0,5.55555554938272e-10,4,0,4,5.55555554938272e-10,0.111111111111111,0,0.222222222222222
"489",553,"RT @fridaysfuturedc: Today we striked for the #PeopleNotProfit !🌍 thank you to the hundreds of middle, high school, and college students an…",193,0,"en",21,0,1,1,0.0476190480498866,0,0,0,4.76190475736961e-10,0,0,0,4.76190475736961e-10,0.0476190476190476,0,0
"490",554,"RT @fridays_kenya: 📍Kajiado, Kenya 

‼️Indigenous women are on the front lines of the climate crisis. It's because of their practices that…",314,0,"en",21,1,0,1,4.76190475736961e-10,1,0,1,4.76190475736961e-10,1,0,1,4.76190475736961e-10,0.0476190476190476,0.0476190476190476,0.0476190476190476
"491",555,"RT @elijahmckenzee: Powerful #ClimateStrike today in
New York City! the students united
will never be defeated!
#FridaysForFuture
#PeopleOv…",285,0,"en",18,0,2,2,0.11111111154321,1,0,1,5.55555554938272e-10,1,2,3,0.11111111154321,0.111111111111111,0.0555555555555556,0.166666666666667
"492",558,"RT @agungwarancak: Joining #FridaysForFuture Heidelberg today!
#ClimateJustice https://t.co/hNKaU2QMY7",118,0,"en",10,0,0,0,9.99999998e-10,0,0,0,9.99999998e-10,0,0,0,9.99999998e-10,0,0,0
"493",559,"RT @burduvalen: Great to see (and hear! 📢) @FFF_Latvia climate march in Rīga after so long! 🌍 Climate crisis has not disappeared and we are…",167,0,"en",23,1,1,2,0.0434782612665406,2,1,3,0.0434782612665406,1,1,2,0.0434782612665406,0.0869565217391304,0.130434782608696,0.0869565217391304
"494",560,"RT @CJSaskatoon: Just getting underway! Come join the rally being organized by @climate_youth at Saskatoon City Hall! #FridaysForFuture #Gl…",100,0,"en",19,0,0,0,5.26315788919668e-10,0,0,0,5.26315788919668e-10,0,2,2,0.105263158310249,0,0,0.105263157894737
"495",561,"RT @mnyomb1: We are unstoppable another world is possible #PeopleNotProfit #FridaysForFuture @GretaThunberg https://t.co/mQ9XK3mn2Z",187,0,"en",15,0,0,0,6.66666665777778e-10,0,0,0,6.66666665777778e-10,0,0,0,6.66666665777778e-10,0,0,0
"496",562,"RT @Leahinitiative: We are back on streets demanding climate justice #Globalclimatestrike
We will not tire until we are safe. https://t.co/…",198,0,"en",21,0,1,1,0.0476190480498866,0,0,0,4.76190475736961e-10,1,2,3,0.0952380956235827,0.0476190476190476,0,0.142857142857143
"497",563,"RT @Johnkerrrrr: Climate strike week 108
Today was the global climate strike wooo!! Over 823 strikes took place around the world!
Join the…",179,0,"en",23,2,0,2,4.3478260831758e-10,0,0,0,4.3478260831758e-10,2,1,3,0.0434782612665406,0.0869565217391304,0,0.130434782608696
"498",564,"RT @Riseupmovt: School strike for climate #PeopleNotProfit #GlobalClimateStrike https://t.co/cTsuFEGxt7",178,0,"en",11,1,0,1,9.09090907438017e-10,0,0,0,9.09090907438017e-10,1,0,1,9.09090907438017e-10,0.0909090909090909,0,0.0909090909090909
"499",566,"RT @Fridays4FutureU: Ugandans from all parts of the country are against EACOP. They have today used the #GlobalClimateStrike to send a clea…",192,0,"en",22,0,0,0,4.54545454132231e-10,1,0,1,4.54545454132231e-10,0,0,0,4.54545454132231e-10,0,0.0454545454545455,0
"500",568,"RT @GoodnessDk: Our future is threatened as a result of climate change but our leaders are still not acting to address the climate crisis.…",166,0,"en",24,1,0,1,4.16666666319444e-10,2,0,2,4.16666666319444e-10,1,0,1,4.16666666319444e-10,0.0416666666666667,0.0833333333333333,0.0416666666666667
"501",569,"RT @FFFMAPA: Ugandan Activists took to the street demanding #PeopleNotProfit  and #StopEACOP, the East African Crude Oil pipeline (EACOP) p…",264,0,"en",20,1,0,1,4.999999995e-10,0,0,0,4.999999995e-10,2,0,2,4.999999995e-10,0.05,0,0.1
"502",571,"RT @aidan4progress: Hundreds of Roseville Area High School students are walking out for climate justice right now!! @Fridays4future #Climat…",239,0,"en",19,0,1,1,0.0526315794182825,0,0,0,5.26315788919668e-10,0,1,1,0.0526315794182825,0.0526315789473684,0,0.0526315789473684
"503",574,"RT @FFF_NYC_: STRIKE AT BOROUGH HALL NOW 🌎🌎🌎💚💚💚 https://t.co/niHvsGL4Jx",227,0,"en",10,1,0,1,9.99999998e-10,0,0,0,9.99999998e-10,1,0,1,9.99999998e-10,0.1,0,0.1
"504",576,"RT @fff_muc: We say: #PeopleNotProfit!

📸 @EnriXXXel https://t.co/6BKZO1uWLx",355,0,"en",9,0,0,0,1.11111110864198e-09,0,0,0,1.11111110864198e-09,0,0,0,1.11111110864198e-09,0,0,0
"505",577,"RT @EeroRinne: My 10 yo son was most likely the northernmost #GlobalClimateStrike participant today. Pyry joined the march in Longyearbyen,…",667,0,"en",20,0,0,0,4.999999995e-10,0,0,0,4.999999995e-10,0,2,2,0.1000000004,0,0,0.1
